Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
850,Animal Feeding,Maximum Weight Of Animal Being Fed,animalFeeding/maximumWeightOfAnimalBeingFed,animalFeedingModule/animalFeeding/maximumWeightOfAnimalBeingFed,401,S3AFMXW,S3AFMXWU,maximumWeightOfAnimalBeingFed,O,The highest weight of the animal intended to be fed the product as defined by the manufacturer. Used by the consumer for search and discovery.,float,38,15,53,Target Market,0..Many,UOM,MassUOM,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
870,Animal Feeding,Minimum Weight Of Animal Being Fed,animalFeeding/minimumWeightOfAnimalBeingFed,animalFeedingModule/animalFeeding/minimumWeightOfAnimalBeingFed,403,S3AFMNW,S3AFMNWU,minimumWeightOfAnimalBeingFed,O,The lowest weight of the animal intended to be fed the product as defined by the manufacturer. Used by the consumer for search and discovery.,float,38,15,53,Target Market,0..Many,UOM,MassUOM,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
890,Animal Feeding,Animal Food Process Or State Code,animalFoodProcessOrStateTypeCode,animalFeedingModule/﻿animalFoodProcessOrStateTypeCode,7089,S3AFPOSTC,,N/A,O,"The code that defines the process or physical state in which the animal food product is shipped and delivered.For dog food product ""XYZ Adult Beef Kibble"", select code value = 'DRY'
For cat food product ""XYZ Chicken Bits with Gravy"", select code value = 'WET'Used by the buyer to determine proper shipping, storage and shelf placement.
Used by the consumer for search and discovery.
",VV/AnimalFoodProcessOrStateTypeCode,,,,Global/Target Market Specific,0..Many,,,,N,,,,,2/24/2023,"2/24/2023- Corrected values in the Global/Target Market Specific and Relationship Dependent Data (RDD) columns
2/3/2023- Updated the DSD Attribute information for this attribute for GDSN v3.1.22 (IM 8.34)
1/18/2023- Add attribute for GDSN Release v3.1.22 (IM 8.1.34)"
910,Animal Feeding,Animal Food Type Code,animalFoodTypeCode,animalFeedingModule/﻿animalFoodTypeCode,7091,S3AFTC,,N/A,O,"The code that describes the shape or consistency of the animal food product.For cat food product ""XYZ Trout and Catfish Pate"", select code value = 'PATE'
For dog treat product ""XYZ Chewy Beef Strips"", select code value = both 'CHEW' and 'JERKY'Used by the buyer to inform the consumer of the shape or consistency of the animal product.
Used by the consumer for search and discovery.
Used by the buyer for assortment planning.",VV/AnimalFoodTypeCode,,,,Global/Target Market Specific,0..Many,,,,N,,,,,2/24/2023,"2/24/2023- Corrected values in the Global/Target Market Specific and Relationship Dependent Data (RDD) columns
2/3/2023- Updated the DSD Attribute information for this attribute for GDSN v3.1.22 (IM 8.34)
1/18/2023- Add attribute for GDSN Release v3.1.22 (IM 8.1.34)"
930,Animal Feeding,Animal Lifestage,animalLifestage,N/A,N/A,N/A,,N/A,O,Descriptive terms to denote the lifestyle of the animal related product. Example: Puppy; Kitten; Adult; All Lifestages,string,,1,4000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
950,Animal Feeding,Nutritional/Health Claim Description,animalNutritionalClaim,animalFeedingModule/animalNutritionalClaim,386,S3ANC,,animalNutritionalClaim,O,The information provided by the seller about the product’s nutritional/health claims. Used by the seller to inform the consumer about the product’s health and/or nutritional claims in order to assist the consumer in making an informed purchasing decision.,string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Animal Nutritional Claim. 
",Multiple,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Animal Nutritional Claim.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
970,Animal Feeding,Animal Target Breed,animalTargetBreed,animalFeedingModule/﻿animalTargetBreed,7093,S3ATB,,N/A,O,"The description that identifies any breed of animal for which the animal product is designed. Examples Poodle, Golden Retriever, Koi, Betta, etc.For fish food product ""XYZ Betta Fish Food"" which is only for feeding to Betta fish breed, attribute value = 'Betta'.
For bird food product ""XYZ Wild Bird Food"" which is recommended for feeding multiple bird feeds, attribute value = 'Cardinal', 'Chickadee', 'Nuthatch', 'Morning Dove', 'Junco', 'Towhees', 'Sparrow'Used by the buyer for assortment planning.
Used by consumers for search and discovery to find the animal product that is specifically designed for their animal breeds.",string,,1,200,Global/Target Market Specific,0..Many,Language,StandardLanguageCodes,,N,,,,Multiple,3/15/2023,"3/15/2023- Added missing Qualifier Type
2/24/2023- Corrected values in the Global/Target Market Specific and Relationship Dependent Data (RDD) columns
2/3/2023- Updated the DSD Attribute information for this attribute for GDSN v3.1.22 (IM 8.34)
1/18/2023- Add attribute for GDSN Release v3.1.22 (IM 8.1.34)"
990,Animal Feeding,Animal Targeted Health Condition Code,animalTargetedHealthConditionCode,animalFeedingModule/﻿animalTargetedHealthConditionCode,7096,S3ATHCC,,N/A,O,"The code that identifies any health conditions that the animal product addresses.For dog food product ""XYZ Skin & Coat Salmon Dog Treats"", which targets multiple health conditions, select code values = 'SKIN_COAT_CARE' and 'SENSITIVE_SKIN'
For dog supplement product ""XYZ Doggy Dental Chews"", select code = 'FRESH_BREATH'
Used by the buyer for assortment planning.
Used by the buyer to inform the consumer of the health benefits of the animal product.
Used by consumers for search and discovery to find the animal product that meets the health needs of their animals.",VV/AnimalTargetedHealthConditionCode,,,,Global/Target Market Specific,0..Many,,,,N,,,,,2/24/2023,"2/24/2023- Corrected values in the Global/Target Market Specific and Relationship Dependent Data (RDD) columns
2/3/2023- Updated the DSD Attribute information for this attribute for GDSN v3.1.22 (IM 8.34)
1/18/2023- Add attribute for GDSN Release v3.1.22 (IM 8.1.34)"
1010,Animal Feeding,Animal Type,animalType,N/A,N/A,N/A,,N/A,O,"Descriptive terms to denote the common generic name for the type of animal, such as Dog, Cat.",string,,1,100,,0..Many,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
1030,Animal Feeding,Feed Additive Statement,feedAdditiveStatement,animalFeedingModule/feedAdditiveStatement,5907,S3FADDST,,feedAdditiveStatement,O,"The list of additives used in animal nutrition for purposes of improving the quality of feed and the quality of food from animal origin, or to improve the animals’ performance and health. 

Used to inform consumers of the additives used in the product.",string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
1050,Animal Feeding,Feed Analytical Constituents Statement,feedAnalyticalConstituentsStatement,animalFeedingModule/feedAnalyticalConstituentsStatement,5909,S3FANCOST,,feedAnalyticalConstituentsStatement,O,"The list of the analytical constituents or guaranteed analysis of the feed, based on the nutrient analysis of the finished product, as governed by local rules and regulations. 

Used to inform consumers of the analytical constituents or guaranteed analysis of the product.",string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
1070,Animal Feeding,Feed Composition Statement,feedCompositionStatement,animalFeedingModule/feedCompositionStatement,5911,S3FCOMPST,,feedCompositionStatement,O,"The list of the animal feed composition data, based on the ingredients contained in the feed, as governed by local rules and regulations. 

Used to inform consumers of the individual ingredients of which the feed is composed.",string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
1090,Animal Feeding,Feeding Instructions,feedingInstructions,animalFeedingModule/feedingInstructions,5913,S3FEEDINS,,feedingInstructions,O,"The representation of the label describing the amounts and how often the animal should be fed the product as defined by the seller. 

Used to inform consumers of proper feeding instructions or additional advice.

May be used in conjunction with: Animal Feed Target Life Stage, Feeding Amount, Minimum Feeding Amount, Maximum Feeding Amount, Minimum Weight of Animal Being Fed, Maximum Weight of Animal Being Fed, Feeding Frequency.",string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
1110,Animal Feeding,Pet Food or Animal Feed Type Code,feedType,animalFeedingModule/feedType,388,S3FEDTYPE,,feedType,O,"Valid value for the type of pet food or animal feed given to wild or domestic animals in the course of animal husbandry. 

Used by the consumer for search and discovery.
Used by the buyer for assortment planning.",VV/FeedTypeCode,,1,80,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of FeedTypeCode,,"Previous IM GUI / Load Sheet (FUSE) Name was Feed Type. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Feed Type.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
1130,Animal Feeding,Pet Size,petSize,N/A,N/A,N/A,,N/A,O,"Descriptiver term used to denote the size category of an animal (e.g. Small, Toy, Teacup, Medium, Large). Attribute most commonly used for products for dogs and cats. Size classification is often related to weight. (For dogs: Small = under 25 lbs. Med = 25 to 60 lbs. Large = over 60 lbs.) (For cats: Small = under 6 lbs. Med = 9-13 lbs. Large = over 14 lbs.) For specific weight range, also use Minimum Weight and Maximum Weight attributes. If product is articles of pet clothing, use ""Clothing Size"".",string,,1,4000,,0..Many,Language,StandardLanguageCodes,,,,,,,9/22/2022,"9/22/2022- DOCUMENTATION CHANGE ONLY- Updated the Definition for IM 8.32..
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
1150,Animal Feeding,Animal Feed Designed For Code,targetedConsumptionBy,animalFeedingModule/targetedConsumptionBy,389,S3TGTCBY,,targetedConsumptionBy,O,"Valid value for the type of animal this feed/animal food is designed to be consumed by.

Used by the consumer to determine whether this feed/animal food is appropriate for their animal. Used by the consumer for search and discovery. Used by the buyer for assortment planning.",VV/TargetedConsumptionByCode,,1,80,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TargetedConsumptionByCode,,"Previous IM GUI / Load Sheet (FUSE) Name was Targeted Consumption By. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Targeted Consumption By.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
1170,Australia Health,AMT Containered Trade Product Pack Code,aMTContaineredTradeProductPackCode,catalogueItemNotification/catalogueItem/tradeItem/avpList/aMTContaineredTradeProductPackCode,N/A,S3AMTCTPC,,aMTContaineredTradeProductPackCode,O,"The AMT Containered Trade Product Pack (CTPP) Code uniquely identifies a CTPP within the Australian Medicines Terminology (AMT) ontology. The CTPP represents the marketable medicinal entity available for patient use, with details of the container type. Its attributes include the brand, active ingredient(s), strength(s), form, unit of use quantity and container type.",uinteger,,1,18,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition and IM GUI Name
10/13/2016 - Added existing attribute"
1190,Australia Health,Label Name,auLabelName,labelName,N/A,S1LBLNAM,,auLabelName,O,This attribute has been deprecated from use. The name of the product as it appears on the packaging.,string,,1,255,Target Market,0..1,,,N,N,,,,,12/16/2022,"12/16/2022- Updated GUI Help Text to reflect the sunsetting of this attribute fir IM 8.33 January 2023
6/25/2021- Updated the value for IM GUI Item Attribute Set"
1210,Australia Health,Classification Code - Other ATC,classificationCodeOtherATC,classificationCodeOtherATC,N/A,S1CCOATC,,classificationCodeOtherATC,O,"This attribute has been deprecated from use. This field to be populated with values from Classification Code - Other (an..15) from EANnet, where Classification Type = 'ATC'",string,,1,15,Target Market,0..1,,,N,N,,,,,12/16/2022,"12/16/2022- Updated GUI Help Text to reflect the sunsetting of this attribute fir IM 8.33 January 2023
6/25/2021- Updated the value for IM GUI Item Attribute Set"
1230,Australia Health,Countable Items C1D1,countableItemsC1D1,countableItemsC1D1,N/A,S1CIC1D1,,countableItemsC1D1,O,"The number of physically separate units within each single, identical container.",uinteger,,1,5,Target Market,0..1,,,N,N,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99",,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
